,count,mean,std,min,25%,50%,75%,max
WGI Voice & Account.,5064.0,-0.022,0.998,-2.313,-0.849,0.018,0.878,1.801
WGI Political Stability,5038.0,-0.029,1.003,-3.313,-0.67,0.067,0.83,1.964
WGI Gov't Effectiveness,4977.0,-0.031,0.995,-2.44,-0.765,-0.17,0.668,2.47
WGI Rule of Law,5091.0,-0.027,0.996,-2.591,-0.804,-0.167,0.783,2.125
WGI Corruption Control,5001.0,-0.028,1.0,-1.97,-0.796,-0.258,0.665,2.459
V-Dem Electoral Demo.,5058.0,0.512,0.264,0.014,0.276,0.514,0.765,0.922
V-Dem Liberal Demo.,5049.0,0.399,0.269,0.005,0.148,0.366,0.642,0.896
Polity2 Score,3748.0,3.549,6.401,-10.0,-2.0,6.0,9.0,10.0
IMF GDP Growth (%),6259.0,3.528,5.904,-54.3,1.5,3.7,5.8,148.0
IMF Inflation (%),6200.0,23.374,870.622,-72.7,1.8,3.8,7.725,65374.1
IMF Govt Debt % GDP,5840.0,55.161,42.424,0.0,29.5,46.6,69.4,600.1
IMF GDP (USD bn),6282.0,1092.074,4190.0,0.014,6.151,30.962,279.812,49422.823
FH Total Score,2342.0,59.436,29.951,-1.0,32.0,64.0,89.0,100.0
